Metabolite	Type	adjPval	FC
1	Ala	aminoacids	1.77498520048421e-16	0.798661661841769
2	Arg	aminoacids	2.9093285875345e-23	0.75036667772298
3	Asn	aminoacids	1.43860565643434e-05	0.885235366610113
4	Cit	aminoacids	6.33275870328496e-18	0.813578617293897
5	Gln	aminoacids	4.52022964408097e-07	1.09776509871022
6	Glu	aminoacids	0.000108679532257647	1.12269529288269
7	Gly	aminoacids	9.76546083980645e-19	0.855805596133543
8	His	aminoacids	4.49184331143915e-34	0.772128061526951
9	Ile	aminoacids	2.9276064012568e-08	0.847707111757714
10	Leu	aminoacids	7.77428786731463e-08	0.840226134899895
11	Lys	aminoacids	4.0216849455473e-29	0.686583407274604
12	Met	aminoacids	5.11121248373095e-17	0.791619293586376
13	Orn	aminoacids	1.89359940692153e-08	0.80357609701148
14	Phe	aminoacids	3.13830158952542e-17	0.82262746469837
15	Pro	aminoacids	0.00121258333009786	0.831846070669459
16	Ser	aminoacids	4.92944057625298e-18	0.807402115457546
17	Thr	aminoacids	1.62761548763332e-20	0.789584979320291
18	Trp	aminoacids	5.29737374958464e-08	1.11504851759668
19	Tyr	aminoacids	2.29223272508066e-16	0.781880649635149
20	Val	aminoacids	1.20089824903456e-09	0.858186245543285
21	ADMA	biogenic amines	0.275062391223509	0.961307679506218
22	alpha.AAA	biogenic amines	0.0910659969294708	1.47323069951949
23	Carnosine	biogenic amines	0.0505994615913221	0.825562188389142
24	Putrescine	biogenic amines	1.70667945713893e-23	0.698439370288276
25	Serotonin	biogenic amines	0.154119149025336	0.505794892376264
26	Spermidine	biogenic amines	0.00218996105463997	0.886720743395016
27	t4.OH.Pro	biogenic amines	0.00204467318616979	0.862945741592129
28	SDMA	biogenic amines	1.1948568905549e-05	1.17678573017422
29	C0	acylcarnitines	1.75013979184056e-13	0.829535315040181
30	C14.1	acylcarnitines	2.78527829548369e-10	1.52353734744043
31	C18.1	acylcarnitines	2.04397071346939e-31	2.70792331040492
32	C18.2	acylcarnitines	8.70115896461073e-15	3.06745074226341
33	C2	acylcarnitines	7.46282140991926e-12	1.32838917602882
34	C3.DC..C4.OH.	acylcarnitines	0.513808104139621	1.15624247956021
35	C4	acylcarnitines	0.735111025270297	1.02977497968379
36	lysoPC.a.C16.0	Lysophosphatidylcholine	0.739182698715549	0.992579679674867
37	lysoPC.a.C16.1	Lysophosphatidylcholine	0.411814242514359	0.968579179454851
38	lysoPC.a.C17.0	Lysophosphatidylcholine	3.3055185994301e-05	0.902221824412704
39	lysoPC.a.C18.0	Lysophosphatidylcholine	0.50488534069587	0.983152642795996
40	lysoPC.a.C18.1	Lysophosphatidylcholine	0.375871831407536	0.967933905045383
41	lysoPC.a.C18.2	Lysophosphatidylcholine	1.45520587063907e-10	0.878200913870823
42	lysoPC.a.C20.3	Lysophosphatidylcholine	9.65567495438042e-05	0.853846064583838
43	lysoPC.a.C20.4	Lysophosphatidylcholine	0.929339874299542	1.00341237965805
44	PC.aa.C30.0	Phosphatidylcholine (diacyl)	0.100220656168756	1.17243430941459
45	PC.aa.C32.0	Phosphatidylcholine (diacyl)	2.01350002174287e-06	1.36132214045161
46	PC.aa.C32.1	Phosphatidylcholine (diacyl)	0.485993807892601	1.05135061628409
47	PC.aa.C32.3	Phosphatidylcholine (diacyl)	0.520930291638968	1.02368570769093
48	PC.aa.C34.1	Phosphatidylcholine (diacyl)	0.405358937894635	0.968632667064082
49	PC.aa.C34.2	Phosphatidylcholine (diacyl)	0.013179996460497	0.889616350758076
50	PC.aa.C34.3	Phosphatidylcholine (diacyl)	0.591073339669437	0.984408925560579
51	PC.aa.C34.4	Phosphatidylcholine (diacyl)	0.00264911883876858	0.934004703554308
52	PC.aa.C36.0	Phosphatidylcholine (diacyl)	0.000199397868999102	1.21366609905763
53	PC.aa.C36.1	Phosphatidylcholine (diacyl)	0.99126737661282	1.00088694612725
54	PC.aa.C36.2	Phosphatidylcholine (diacyl)	6.75605694991762e-05	0.882494162031746
55	PC.aa.C36.3	Phosphatidylcholine (diacyl)	4.82009313641525e-12	0.799014236434689
56	PC.aa.C36.4	Phosphatidylcholine (diacyl)	0.145119697247289	0.970660809408836
57	PC.aa.C36.5	Phosphatidylcholine (diacyl)	2.81720147389243e-07	0.840436108425373
58	PC.aa.C36.6	Phosphatidylcholine (diacyl)	9.46654002958175e-05	0.859553333804486
59	PC.aa.C38.0	Phosphatidylcholine (diacyl)	0.739182698715549	1.00983896043268
60	PC.aa.C38.3	Phosphatidylcholine (diacyl)	0.139271818106769	0.931590863246481
61	PC.aa.C38.4	Phosphatidylcholine (diacyl)	0.0181796068691755	1.06436559177166
62	PC.aa.C38.5	Phosphatidylcholine (diacyl)	0.653767640913951	0.984602041813774
63	PC.aa.C38.6	Phosphatidylcholine (diacyl)	0.931786939291901	1.00265044893136
64	PC.aa.C40.2	Phosphatidylcholine (diacyl)	4.841144864623e-07	0.880718164110798
65	PC.aa.C40.3	Phosphatidylcholine (diacyl)	8.87735198159805e-05	0.866807059044879
66	PC.aa.C40.4	Phosphatidylcholine (diacyl)	0.016840823704018	0.933096232047088
67	PC.aa.C40.5	Phosphatidylcholine (diacyl)	0.195220637000996	1.06139029788108
68	PC.aa.C40.6	Phosphatidylcholine (diacyl)	0.99126737661282	0.999259856215643
69	PC.aa.C42.0	Phosphatidylcholine (diacyl)	0.122635666908455	1.07486463063772
70	PC.aa.C42.1	Phosphatidylcholine (diacyl)	0.275062391223509	1.03494662337713
71	PC.aa.C42.2	Phosphatidylcholine (diacyl)	0.000913596422078899	0.884954038521474
72	PC.aa.C42.4	Phosphatidylcholine (diacyl)	0.0106853964851068	0.925807033779591
73	PC.aa.C42.5	Phosphatidylcholine (diacyl)	0.195220637000996	0.952447973212441
74	PC.aa.C42.6	Phosphatidylcholine (diacyl)	9.74209839141735e-06	0.853531258700885
75	PC.ae.C30.2	Phosphatidylcholine (acyl-alkyl)	0.795354066114809	1.01750947264374
76	PC.ae.C32.1	Phosphatidylcholine (acyl-alkyl)	0.00105190689698603	1.16339471591336
77	PC.ae.C32.2	Phosphatidylcholine (acyl-alkyl)	8.87735198159805e-05	1.12541714912362
78	PC.ae.C34.0	Phosphatidylcholine (acyl-alkyl)	3.28976056908674e-08	1.30202962361755
79	PC.ae.C34.1	Phosphatidylcholine (acyl-alkyl)	0.195242459440162	1.04170014158013
80	PC.ae.C34.2	Phosphatidylcholine (acyl-alkyl)	0.000964697512191371	0.918376472799537
81	PC.ae.C34.3	Phosphatidylcholine (acyl-alkyl)	0.105088772595887	1.0459358803365
82	PC.ae.C36.0	Phosphatidylcholine (acyl-alkyl)	0.405358937894635	1.0438880661513
83	PC.ae.C36.1	Phosphatidylcholine (acyl-alkyl)	0.735111025270297	0.986957966052016
84	PC.ae.C36.2	Phosphatidylcholine (acyl-alkyl)	6.68535378827165e-16	0.827804907755196
85	PC.ae.C36.3	Phosphatidylcholine (acyl-alkyl)	8.60824056990045e-11	0.858438770089033
86	PC.ae.C36.4	Phosphatidylcholine (acyl-alkyl)	0.423675493660327	1.02156134741701
87	PC.ae.C36.5	Phosphatidylcholine (acyl-alkyl)	2.78527829548369e-10	1.18793426309277
88	PC.ae.C38.0	Phosphatidylcholine (acyl-alkyl)	0.644887365147032	0.98220959789087
89	PC.ae.C38.1	Phosphatidylcholine (acyl-alkyl)	0.735111025270297	0.950813947594171
90	PC.ae.C38.2	Phosphatidylcholine (acyl-alkyl)	1.24275097773837e-08	0.810980697463015
91	PC.ae.C38.3	Phosphatidylcholine (acyl-alkyl)	1.49122937662408e-06	0.861174948406862
92	PC.ae.C38.4	Phosphatidylcholine (acyl-alkyl)	0.747281536165397	0.991202533390997
93	PC.ae.C38.5	Phosphatidylcholine (acyl-alkyl)	0.958691232608461	1.00181615913908
94	PC.ae.C38.6	Phosphatidylcholine (acyl-alkyl)	0.908425563883139	1.00420290152918
95	PC.ae.C40.1	Phosphatidylcholine (acyl-alkyl)	3.43607237155171e-10	0.837272271154249
96	PC.ae.C40.2	Phosphatidylcholine (acyl-alkyl)	3.75031010683513e-05	0.906636108366177
97	PC.ae.C40.3	Phosphatidylcholine (acyl-alkyl)	0.0510978597365474	0.939741863033622
98	PC.ae.C40.4	Phosphatidylcholine (acyl-alkyl)	0.929339874299542	0.996727610939408
99	PC.ae.C40.5	Phosphatidylcholine (acyl-alkyl)	0.375871831407536	1.02867680444265
100	PC.ae.C40.6	Phosphatidylcholine (acyl-alkyl)	0.348271782167321	0.973162110055092
101	PC.ae.C42.0	Phosphatidylcholine (acyl-alkyl)	0.0140981320986412	0.905595847720054
102	PC.ae.C42.1	Phosphatidylcholine (acyl-alkyl)	0.00432487294683034	0.907500104135996
103	PC.ae.C42.2	Phosphatidylcholine (acyl-alkyl)	1.49691095243877e-06	0.858753214528918
104	PC.ae.C42.3	Phosphatidylcholine (acyl-alkyl)	0.00224421064434541	0.905054269839895
105	PC.ae.C42.4	Phosphatidylcholine (acyl-alkyl)	0.0388870654337428	0.940367728056435
106	PC.ae.C42.5	Phosphatidylcholine (acyl-alkyl)	0.664274653022251	0.98370124511581
107	PC.ae.C44.3	Phosphatidylcholine (acyl-alkyl)	0.579638141229104	0.975159006784057
108	PC.ae.C44.4	Phosphatidylcholine (acyl-alkyl)	0.0166906268315424	0.914400108460226
109	PC.ae.C44.5	Phosphatidylcholine (acyl-alkyl)	6.75605694991762e-05	0.86231005584878
110	PC.ae.C44.6	Phosphatidylcholine (acyl-alkyl)	0.561238390176902	0.963714134080393
111	SM..OH..C14.1	sphingolipids	2.71585308071045e-14	1.1966174214833
112	SM..OH..C16.1	sphingolipids	2.89435726114645e-18	1.3331619460868
113	SM..OH..C22.1	sphingolipids	1.23988315050551e-08	1.22569739473202
114	SM..OH..C22.2	sphingolipids	5.29965115323302e-10	1.21438117072513
115	SM..OH..C24.1	sphingolipids	0.00025186710001845	1.17580467604992
