logFC	AveExpr	t	P.Value	adj.P.Val	B
Hyou1	0.724969181528502	7.14244477071526	45.2661687481657	1.01741837050789e-42	1.50109906384735e-38	87.441778640588
Pdia4	1.06349615981203	5.39848493489796	43.0471960354635	1.22576434406173e-41	6.5754715354828e-38	84.8920227739267
Hspa5	1.32403141727233	8.30394052960201	42.9716350524469	1.33702145902456e-41	6.5754715354828e-38	84.8836908615837
Pdp1	0.839778757718449	7.7115599801463	41.0993577406273	1.20693781410008e-40	4.45179012730815e-37	82.6860489420764
Calr	0.828998172089559	8.65999639717339	40.7680779128607	1.79898085286416e-40	5.03130029776778e-37	82.2844523602054
Manf	0.996426250635723	5.4376243309142	40.6617920026247	2.04607576159731e-40	5.03130029776778e-37	82.1171032205088
Pdia6	0.949363873516512	6.7987704840201	40.5063232311371	2.47132659592568e-40	5.20885037089821e-37	81.9691998018163
Tmem151b	0.599415521823391	7.82215475560095	39.9894755334678	4.65272816273647e-40	7.62737236811265e-37	81.3368947764146
Sdf2l1	1.65989958063266	3.30651627285579	40.3793605844577	2.8848409873359e-40	5.32036799089424e-37	80.886867198701
Galnt9	0.906815228373152	6.5920032775162	39.5556484710565	7.96043096810777e-40	1.17448198503462e-36	80.8013569759817
Zfp180	0.565758694522947	6.20967859949649	39.4409393222807	9.18346305197195e-40	1.23175285335267e-36	80.6566864475655
Cx3cl1	0.535894919933478	9.82938840996848	39.2937569574643	1.10381514320862e-39	1.357140718575e-36	80.4579479149717
Fmnl1	0.897709900156268	7.55224965261846	38.9223501483861	1.76095358318848e-39	1.99854685895099e-36	80.0064498587833
Sgsm1	1.0887671758317	7.49986151067302	38.8239057140848	1.99443252936947e-39	2.10184696702265e-36	79.8821933444215
Pvrl1	0.767262091828653	6.00126774190925	37.9315734920473	6.24992322415724e-39	5.90087981632568e-36	78.7426137788837
Dnajb5	0.943945657523089	7.29677248548704	37.9133348065871	6.39921899560871e-39	5.90087981632568e-36	78.7164589179354
Hexim1	0.501594943096021	5.80779815574036	37.8280642750979	7.14694091203439e-39	6.20270389506797e-36	78.6071914628871
Trim9	0.448521306853436	8.60155362004323	37.6747897343877	8.72253450225612e-39	7.14957078034927e-36	78.3951695398762
P4ha1	0.989541977438382	5.86764342843528	37.6046832742678	9.5571144479769e-39	7.42135087186585e-36	78.3172777027687
Mfsd4	-0.757099521961169	6.1461437387986	-37.2386498402838	1.54400197993519e-38	1.13901026059819e-35	77.8408340728755
Hspa8	0.624155550581823	7.82010932690205	37.1651816206247	1.70094606034046e-38	1.19503610353634e-35	77.7329160518125
Zfyve28	-0.551803471361628	5.88611706980267	-36.7179346119642	3.07829751519828e-38	2.06441825178343e-35	77.1516371579958
Armcx5	-0.695969204355244	4.75031971997605	-36.6038416144316	3.58505940445374e-38	2.29973767188306e-35	76.9483454933027
Lman2	0.432367356966922	6.44032115964297	36.0443171879539	7.61860669859328e-38	4.49619692924181e-35	76.2432690006802
Tra2a	0.667634787179048	6.36821878806212	35.7623610952995	1.11850314167954e-37	6.34707513551533e-35	75.8599745182906
Xbp1	0.729163936639412	6.50220204420259	35.5553477980169	1.48542424119593e-37	8.11701824244618e-35	75.5745924417771
Samd4b	0.576419256034482	6.65367419257357	35.5034389743007	1.59532941899782e-37	8.40624651710496e-35	75.5010405454787
Adam8	1.11878583879873	2.89425688037155	36.0579108684541	7.4793901510731e-38	4.49619692924181e-35	75.4154651265781
Pfkfb3	0.867355259506968	5.73996511187032	35.3877632931695	1.87103808552036e-37	9.51906755647152e-35	75.3498315189231
Cbln4	1.45310744501995	4.86882647029585	35.2848313185195	2.15706734775422e-37	1.06084572162553e-34	75.1702063156024
Syt13	0.42667538363233	8.48951690881586	35.1803193951826	2.49323691727646e-37	1.18661991862893e-34	75.0296713123562
Enc1	0.595582235197862	10.0035974869966	35.154733079021	2.58338293461871e-37	1.19110099429264e-34	74.9722110559017
Ccdc41os1	-0.623784048129286	5.2284641790274	-35.0479490864581	2.99693777771264e-37	1.33990363552643e-34	74.8744146057674
Mical2	0.696239256391526	9.38382045465401	34.9029594876944	3.66885375197156e-37	1.59206671342907e-34	74.6285246334608
Dnajb11	0.680381010910452	6.04835130405396	34.772792616953	4.40239090303167e-37	1.80424653842581e-34	74.4924329575795
Sbk1	0.807669946912624	6.70182692169519	34.7780703127308	4.369922946444e-37	1.80424653842581e-34	74.490966680014
Pdia3	0.676666050266979	7.82906690115317	34.6386206221122	5.31579926341186e-37	2.11971087384807e-34	74.2782096215057
Egr3	1.53038756160889	6.40016085668832	34.4765682786478	6.68117607202866e-37	2.5940545201766e-34	74.072783317802
Hnrnph1	0.530289459833623	8.0831453700837	34.2729208567527	8.91726274382711e-37	3.37346909031859e-34	73.7546384908654
Hsp90b1	0.728588916049301	8.7941303861806	34.1877755281675	1.00659702452828e-36	3.62227621948544e-34	73.6220808972739
Camk1g	0.952040161142518	5.44138811629884	34.1120782720735	1.12135082661998e-36	3.84753723161654e-34	73.5618732740741
Cbfa2t3	0.782335409386686	5.44001010978525	33.986011321607	1.34288269176704e-36	4.50292982598431e-34	73.3820996282069
Trib1	1.4544370214519	4.89303146716863	33.8989717546647	1.52142835259502e-36	4.98825642537488e-34	73.2368270818014
Tnfrsf25	1.95509625831016	3.26751481822568	34.2510964229116	9.19832395704916e-37	3.39280179155758e-34	73.1832647447305
Itga10	1.27388498840798	3.22866998668521	34.1466579998637	1.06736128965793e-36	3.74948773038408e-34	73.1275538831918
Mlec	0.538978432854003	7.25372074611782	33.7511952061219	1.88186530600735e-36	6.03587841844182e-34	73.0167722764362
Rundc1	0.451538290900662	5.59502588656004	33.7041575364098	2.01399044822129e-36	6.28721022917941e-34	72.9764732032428
Cirbp	-1.26879724334252	5.80347009405874	-33.6401016004646	2.20926994356735e-36	6.51911374947853e-34	72.8834001060068
Mat2a	0.499262948886934	7.5617030784845	33.6471503146695	2.1868686308242e-36	6.51911374947853e-34	72.8610016899588
Dok3	1.42590782687021	3.39746151396807	33.6934204180254	2.04545269757769e-36	6.28721022917941e-34	72.5783341785074
Dio2	1.40324679831691	7.2385806001178	33.0542967990244	5.18908754256855e-36	1.47230380005878e-33	71.9998568500434
Pnma3	-0.659791552074505	4.53976057082937	-32.823624973828	7.29065920728114e-36	2.02955445177785e-33	71.6683796650108
Znrf1	0.431677290650019	7.676766594239	32.577662720909	1.05021334296071e-35	2.81724502946225e-33	71.281462129311
Hsph1	0.833238907932212	8.67863768359021	32.5876022591421	1.03478679462429e-35	2.81724502946225e-33	71.2788107120948
Plekhg4	2.11980321859396	2.3839632933849	33.5015632046122	2.70031111411556e-36	7.81184121130606e-34	71.2522826691285
Bicd2	0.474626955084667	7.11412451935009	32.4904713807357	1.19599641847709e-35	3.1510234211091e-33	71.1609687112438
Dlgap4	0.29645447506759	8.41094626679355	32.0894579455672	2.18350761325994e-35	5.55439160793743e-33	70.5314885101272
Chordc1	0.770386451627301	6.22519211225636	31.9896901612707	2.53895643333654e-35	6.34911240973685e-33	70.4257437736318
1700001L05Rik	-1.44732589193856	2.72724761394859	-32.2740183313311	1.65375519172194e-35	4.28061475415185e-33	70.1618311169584
Fbxl4	-0.690381607278214	4.25188047601739	-31.5400637030905	5.0369326444467e-35	1.21827711862568e-32	69.726749247467
Gfod1	0.708786929678968	7.72943041596703	31.5429844998864	5.01442494412527e-35	1.21827711862568e-32	69.7076386939742
Zfp46	-0.610338136885088	5.65498843387067	-31.4998611686188	5.35740236100315e-35	1.25465261006731e-32	69.6921570564251
Zbtb40	0.906951053986918	4.45470262681325	31.5023397328312	5.33705687250866e-35	1.25465261006731e-32	69.6853940262284
Dnajc3	0.638884106991766	6.25410077217646	31.4046788096109	6.20155394562826e-35	1.42965198302812e-32	69.5278260209755
Arc	2.90397290125297	7.81105781873811	31.3054284630221	7.22683903080983e-35	1.64038127785489e-32	69.3453018533116
Vgf	0.87779228638441	8.18992832884675	31.2354053468971	8.05273278232165e-35	1.80015181015718e-32	69.2216728840479
Slc36a1	0.483363544474526	6.55071388325178	31.1131420621642	9.73255521261918e-35	2.1431958150296e-32	69.0666613003167
Rin1	0.671831079720673	6.49445750932615	31.0486699491654	1.07580705741989e-34	2.33418490076074e-32	68.9678346827193
Spry4	1.1685186002287	4.14171560030003	31.0019774637157	1.15689684455772e-34	2.47374725284125e-32	68.8813911540926
Stip1	0.563519896855901	7.48782540103185	30.9851435690416	1.1876363057383e-34	2.50319800783755e-32	68.8444277092426
Creld2	1.0082708558948	4.0456850858526	30.944377126898	1.26557178227248e-34	2.62989381347157e-32	68.7834634503285
Spred3	0.687558799978277	6.24648880862277	30.8389845545659	1.49211118799397e-34	3.05758450939765e-32	68.6463762082275
Enox1	0.762692407210675	5.05718335346208	30.7848038596256	1.62424431431171e-34	3.23839197477771e-32	68.5952506642122
Zmynd8	0.493618235632054	7.71427772508071	30.8246078989467	1.52606686456276e-34	3.08432746846013e-32	68.5872203036016
Stt3b	0.435901746751449	7.12252322189868	30.6706995506481	1.94289343615088e-34	3.82205996759602e-32	68.3567543056604
Usp19	0.306471034272422	7.63272641181351	30.4149571596172	2.90915524796103e-34	5.64758901689698e-32	67.9390321848115
Rilpl1	0.487818510998113	6.02973019371011	30.3359154478286	3.29776674894455e-34	6.31886371609453e-32	67.856115823193
Ptchd2	0.586633357702626	5.95925424823992	30.3069387334271	3.45314121298733e-34	6.53174941748911e-32	67.8130823780073
Insig1	-0.552420462547775	5.82463851659695	-30.2431226316381	3.82216155259957e-34	7.13824956291824e-32	67.7156711885471
Arl4d	1.22472059093021	3.99416868068211	30.2085549664381	4.03858240794986e-34	7.44815560586152e-32	67.6253844564815
Atp11b	-0.541677435289119	7.23202725192414	-30.1866030948627	4.18246012112833e-34	7.61827365767004e-32	67.5825168894189
Rab15	0.449728365870419	8.40070413322106	30.1754851425784	4.2573109746913e-34	7.6600446488531e-32	67.5389901706364
Hnrnpdl	-0.427426959446998	7.41518473769663	-30.1573465587716	4.38236916075665e-34	7.79005718045827e-32	67.5312077465048
Hnrnpm	0.357147461544788	6.9474260788282	30.0402551052917	5.28493545226586e-34	9.0667369375268e-32	67.3535550060734
BC023829	0.429137524994129	5.15823088408113	29.9855881882481	5.76910092094876e-34	9.78359942387103e-32	67.3255310232359
Cln6	-0.77574008402764	3.52084382648602	-30.0553682114505	5.15853410831174e-34	8.95400143929781e-32	67.3015682499163
Baiap2	0.470176026744139	8.39875494846978	29.9713837045021	5.90214527388835e-34	9.89548311033509e-32	67.2096907819973
